estado;cidade;populacao;pib;pib_percapita;sigla;regiao
BAHIA;Salinas da Margarida;14194;62426.8046875;4398.10986328;BA;NORDESTE
BAHIA;Capim Grosso;27158;121918.3125;4489.22021484;BA;NORDESTE
BAHIA;Juazeiro;243896;1745979.625;7158.70996094;BA;NORDESTE
BAHIA;Dom Basilio;11620;84668.9140625;7286.47998047;BA;NORDESTE
BAHIA;Saude;12355;41634.6484375;3369.86010742;BA;NORDESTE
BAHIA;Caraibas;10495;32104.37109375;3059.02001953;BA;NORDESTE
BAHIA;Laje;22180;128748.09375;5804.68994141;BA;NORDESTE
BAHIA;Lajedinho;4468;19471.34375;4357.95996094;BA;NORDESTE
BAHIA;Quijingue;28143;92821.9609375;3298.22998047;BA;NORDESTE
BAHIA;Jucurucu;10516;64516.0703125;6135.04003906;BA;NORDESTE
BAHIA;Ubata;26355;101273.8515625;3842.67993164;BA;NORDESTE
BAHIA;Teixeira de Freitas;125430;1051444.375;8382.71972656;BA;NORDESTE
BAHIA;Tucano;49827;169157.046875;3394.88989258;BA;NORDESTE
BAHIA;Almadina;6621;26828.51171875;4052.0300293;BA;NORDESTE
BAHIA;Macurure;7834;24953.62890625;3185.30004883;BA;NORDESTE
BAHIA;Miguel Calmon;27724;107699.890625;3884.7199707;BA;NORDESTE
BAHIA;Serra do Ramalho;31809;130961.890625;4117.12988281;BA;NORDESTE
BAHIA;Ribeirao do Largo;14528;63719.88671875;4386.00976562;BA;NORDESTE
BAHIA;Belo Campo;15185;54279.22265625;3574.5300293;BA;NORDESTE
BAHIA;Canavieiras;37041;142412.078125;3844.70996094;BA;NORDESTE
BAHIA;Sao Francisco do Conde;31699;11437501.0;360815.84375;BA;NORDESTE
BAHIA;Itiuba;36996;129550.7890625;3501.75;BA;NORDESTE
BAHIA;Cafarnaum;18314;61634.8046875;3365.44995117;BA;NORDESTE
BAHIA;Cravolandia;5713;21624.3203125;3785.11010742;BA;NORDESTE
BAHIA;Rodelas;7446;29632.92382812;3979.70996094;BA;NORDESTE
BAHIA;Uaua;25159;95182.21875;3783.22998047;BA;NORDESTE
BAHIA;Caatiba;9450;34616.9453125;3663.16992188;BA;NORDESTE
BAHIA;Mucuri;35501;1009100.25;28424.56054688;BA;NORDESTE
BAHIA;Euclides da Cunha;59193;259546.765625;4384.75;BA;NORDESTE
BAHIA;Nova Fatima;7964;27641.48828125;3470.80004883;BA;NORDESTE
BAHIA;Urucuca;23237;80547.1640625;3466.33007812;BA;NORDESTE
BAHIA;Pindobacu;20854;62869.55859375;3014.75;BA;NORDESTE
BAHIA;Lajedao;3599;27027.58203125;7509.75;BA;NORDESTE
BAHIA;Varzea da Roca;15171;45801.265625;3019.0;BA;NORDESTE
BAHIA;Riachao das Neves;23431;260520.578125;11118.62988281;BA;NORDESTE
BAHIA;Cacule;22557;114526.578125;5077.20996094;BA;NORDESTE
BAHIA;Milagres;12092;42632.4140625;3525.66992188;BA;NORDESTE
BAHIA;Senhor do Bonfim;76113;441113.46875;5795.50976562;BA;NORDESTE
BAHIA;Nova Vicosa;36407;248463.546875;6824.60986328;BA;NORDESTE
BAHIA;Nilo Pecanha;13274;60193.390625;4534.68017578;BA;NORDESTE
BAHIA;Santa Barbara;20461;85315.9296875;4169.68994141;BA;NORDESTE
BAHIA;Sapeacu;17087;70579.2578125;4130.58007812;BA;NORDESTE
BAHIA;Ibiquera;5300;17804.328125;3359.31005859;BA;NORDESTE
BAHIA;Licinio de Almeida;13205;51710.9609375;3916.01000977;BA;NORDESTE
BAHIA;Cipo;15758;57489.546875;3648.2800293;BA;NORDESTE
BAHIA;Una;24650;108985.7265625;4421.33007812;BA;NORDESTE
BAHIA;Ibitiara;16665;48967.69140625;2938.36010742;BA;NORDESTE
BAHIA;Firmino Alves;5864;20694.26171875;3529.04003906;BA;NORDESTE
BAHIA;Sobradinho;22026;385661.53125;17509.38085938;BA;NORDESTE
BAHIA;Gentio do Ouro;11988;34065.65234375;2841.64990234;BA;NORDESTE
BAHIA;Itanagra;6884;28108.08203125;4083.10009766;BA;NORDESTE
BAHIA;Sao Goncalo dos Campos;30724;231667.328125;7540.27001953;BA;NORDESTE
BAHIA;Casa Nova;66718;301914.84375;4525.24023438;BA;NORDESTE
BAHIA;Boa Vista do Tupim;18298;75152.75;4107.16015625;BA;NORDESTE
BAHIA;Jaguaripe;17435;60391.05859375;3463.7800293;BA;NORDESTE
BAHIA;Sebastiao Laranjeiras;11421;45913.02734375;4020.05004883;BA;NORDESTE
BAHIA;Jaguarari;30484;263281.65625;8636.71972656;BA;NORDESTE
BAHIA;Lagoa Real;14510;41611.04296875;2867.75;BA;NORDESTE
BAHIA;Madre de Deus;16783;246407.75;14681.99023438;BA;NORDESTE
BAHIA;Sao Jose do Jacuipe;11134;36806.5546875;3305.7800293;BA;NORDESTE
BAHIA;Sento Se;38735;147890.25;3818.0;BA;NORDESTE
BAHIA;Mansidao;12244;32635.74023438;2665.44995117;BA;NORDESTE
BAHIA;Teofilandia;21461;66410.25;3094.45996094;BA;NORDESTE
BAHIA;Varzedo;9451;39785.59765625;4209.66992188;BA;NORDESTE
BAHIA;Ipecaeta;15888;48456.55859375;3049.87988281;BA;NORDESTE
BAHIA;Ubaira;21428;86636.703125;4043.14990234;BA;NORDESTE
BAHIA;Urandi;16289;77405.5546875;4752.00976562;BA;NORDESTE
BAHIA;Mundo Novo;25245;96220.46875;3811.4699707;BA;NORDESTE
BAHIA;Caravelas;22115;205351.859375;9285.63964844;BA;NORDESTE
BAHIA;Itapicuru;32563;118382.15625;3635.47998047;BA;NORDESTE
BAHIA;Itarantim;18375;82294.8125;4478.62988281;BA;NORDESTE
BAHIA;Seabra;42175;213669.90625;5066.27001953;BA;NORDESTE
BAHIA;Correntina;32980;637574.3125;19332.15039062;BA;NORDESTE
BAHIA;Catolandia;4059;22203.5390625;5470.20019531;BA;NORDESTE
BAHIA;Teodoro Sampaio;8442;38678.0390625;4581.62011719;BA;NORDESTE
BAHIA;Itapitanga;10376;38620.75390625;3722.12011719;BA;NORDESTE
BAHIA;Ribeira do Amparo;14621;46314.48046875;3167.66992188;BA;NORDESTE
BAHIA;Caem;10187;34143.12890625;3351.63989258;BA;NORDESTE
BAHIA;Macarani;16940;69146.0703125;4081.82006836;BA;NORDESTE
BAHIA;Barra;50226;147346.296875;2933.66992188;BA;NORDESTE
BAHIA;Santa Ines;10803;35840.4296875;3317.63989258;BA;NORDESTE
BAHIA;Piripa;13325;36582.48828125;2745.39990234;BA;NORDESTE
BAHIA;Rio Real;38095;202989.765625;5328.50976562;BA;NORDESTE
BAHIA;Vera Cruz;37539;207724.953125;5533.58007812;BA;NORDESTE
BAHIA;Riachao do Jacuipe;33666;125705.1484375;3733.88989258;BA;NORDESTE
BAHIA;Santa Cruz da Vitoria;6443;23149.640625;3592.98999023;BA;NORDESTE
BAHIA;Wenceslau Guimaraes;24802;144764.984375;5836.83007812;BA;NORDESTE
BAHIA;Santa Cruz Cabralia;26250;153209.375;5836.54980469;BA;NORDESTE
BAHIA;Sao Felix do Coribe;13504;68296.671875;5057.50976562;BA;NORDESTE
BAHIA;Mata de Sao Joao;39585;303156.75;7658.37011719;BA;NORDESTE
BAHIA;Nova Itarana;7875;24762.71875;3144.4699707;BA;NORDESTE
BAHIA;Castro Alves;24978;110339.4765625;4417.47021484;BA;NORDESTE
BAHIA;Cairu;14736;409264.625;27773.109375;BA;NORDESTE
BAHIA;Mirante;8375;26649.9296875;3182.08007812;BA;NORDESTE
BAHIA;Gongogi;6170;26375.15234375;4274.74023438;BA;NORDESTE
BAHIA;Porto Seguro;122896;805236.4375;6552.18017578;BA;NORDESTE
BAHIA;Igapora;14970;48868.1171875;3264.39990234;BA;NORDESTE
BAHIA;Pocoes;46390;216375.109375;4664.25976562;BA;NORDESTE
BAHIA;Palmeiras;8437;33296.58203125;3946.5;BA;NORDESTE
BAHIA;Jussari;6914;33357.0625;4824.56982422;BA;NORDESTE
BAHIA;Amelia Rodrigues;24491;120464.75;4918.74023438;BA;NORDESTE
BAHIA;Guanambi;79886;491441.5625;6151.79003906;BA;NORDESTE
BAHIA;Ichu;6148;19514.67382812;3174.14990234;BA;NORDESTE
BAHIA;Riacho de Santana;30602;136802.359375;4470.37011719;BA;NORDESTE
BAHIA;Andorinha;14201;71736.671875;5051.52001953;BA;NORDESTE
BAHIA;Tabocas do Brejo Velho;12608;44926.98828125;3563.37011719;BA;NORDESTE
BAHIA;Brotas de Macaubas;10949;41737.30859375;3811.9699707;BA;NORDESTE
BAHIA;Lajedo do Tabocal;8999;47203.65234375;5245.43017578;BA;NORDESTE
BAHIA;Pirai do Norte;8818;36207.7734375;4106.12011719;BA;NORDESTE
BAHIA;Monte Santo;53429;161170.625;3016.54003906;BA;NORDESTE
BAHIA;Matina;13245;33801.07421875;2551.98999023;BA;NORDESTE
BAHIA;Barra do Choca;31527;287249.9375;9111.24023438;BA;NORDESTE
BAHIA;Sao Miguel das Matas;10675;71017.234375;6652.66992188;BA;NORDESTE
BAHIA;Itambe;35512;124283.6875;3499.77001953;BA;NORDESTE
BAHIA;Gaviao;4507;15637.85742188;3469.67993164;BA;NORDESTE
BAHIA;Sao Gabriel;19099;60514.3359375;3168.45996094;BA;NORDESTE
BAHIA;Lauro de Freitas;156936;2672093.5;17026.640625;BA;NORDESTE
BAHIA;Itabuna;213656;2280732.75;10674.79003906;BA;NORDESTE
BAHIA;Canarana;25935;89429.9609375;3448.22998047;BA;NORDESTE
BAHIA;Muquem de Sao Francisco;10691;46145.44140625;4316.29003906;BA;NORDESTE
BAHIA;Angical;15191;62100.0;4087.94995117;BA;NORDESTE
BAHIA;Quixabeira;9631;30138.6953125;3129.34008789;BA;NORDESTE
BAHIA;Dias d'Avila;57708;1320355.0;22879.9296875;BA;NORDESTE
BAHIA;Fatima;19703;60504.7265625;3070.84008789;BA;NORDESTE
BAHIA;Marau;17270;68925.3125;3991.04003906;BA;NORDESTE
BAHIA;Barrocas;13868;99350.3203125;7164.0;BA;NORDESTE
BAHIA;Macajuba;11517;36031.44140625;3128.54003906;BA;NORDESTE
BAHIA;Varzea Nova;14365;53921.52734375;3753.66992188;BA;NORDESTE
BAHIA;Esplanada;33115;301334.8125;9099.65039062;BA;NORDESTE
BAHIA;Ibotirama;26419;129069.2890625;4885.47021484;BA;NORDESTE
BAHIA;Ouricangas;8131;26103.7578125;3210.39990234;BA;NORDESTE
BAHIA;Campo Formoso;68101;337622.03125;4957.66992188;BA;NORDESTE
BAHIA;Macaubas;48633;144157.8125;2964.19995117;BA;NORDESTE
BAHIA;Buritirama;19492;55079.7578125;2825.76000977;BA;NORDESTE
BAHIA;Baixa Grande;21814;67050.234375;3073.7199707;BA;NORDESTE
BAHIA;Cordeiros;8883;27428.83007812;3087.79003906;BA;NORDESTE
BAHIA;Sitio do Quinto;13811;47883.55859375;3467.06005859;BA;NORDESTE
BAHIA;Iguai;29449;86859.359375;2949.47998047;BA;NORDESTE
BAHIA;Crisopolis;20279;85858.2421875;4233.85009766;BA;NORDESTE
BAHIA;Brumado;64642;480991.4375;7440.85009766;BA;NORDESTE
BAHIA;Morro do Chapeu;35031;127060.5625;3627.09008789;BA;NORDESTE
BAHIA;Pindai;15772;48485.796875;3074.16992188;BA;NORDESTE
BAHIA;Caetite;48007;233801.03125;4870.14013672;BA;NORDESTE
BAHIA;Pintadas;10812;36110.8984375;3339.88989258;BA;NORDESTE
BAHIA;Bonito;14326;126010.2734375;8795.91015625;BA;NORDESTE
BAHIA;Muritiba;27755;128211.015625;4619.37988281;BA;NORDESTE
BAHIA;Aiquara;5361;22533.35742188;4203.20019531;BA;NORDESTE
BAHIA;America Dourada;16787;65303.5859375;3890.12988281;BA;NORDESTE
BAHIA;Santanopolis;9643;29150.2734375;3022.94995117;BA;NORDESTE
BAHIA;Candeal;9050;25679.6015625;2837.5300293;BA;NORDESTE
BAHIA;Itanhem;21154;113195.1875;5351.00976562;BA;NORDESTE
BAHIA;Varzea do Poco;8992;34246.515625;3808.55004883;BA;NORDESTE
BAHIA;Valente;22295;102698.3046875;4606.33984375;BA;NORDESTE
BAHIA;Brejolandia;9791;40420.2734375;4128.31005859;BA;NORDESTE
BAHIA;Wagner;8807;42085.7265625;4778.66992188;BA;NORDESTE
BAHIA;Gloria;14176;48727.28125;3437.31005859;BA;NORDESTE
BAHIA;Bom Jesus da Serra;10588;29641.68164062;2799.55004883;BA;NORDESTE
BAHIA;Adustina;15448;78803.0;5101.18017578;BA;NORDESTE
BAHIA;Tanquinho;7875;26192.84960938;3326.08007812;BA;NORDESTE
BAHIA;Mutuipe;22066;96836.015625;4388.47021484;BA;NORDESTE
BAHIA;Itagimirim;7118;42068.08984375;5910.10009766;BA;NORDESTE
BAHIA;Ubaitaba;20333;118813.359375;5843.37988281;BA;NORDESTE
BAHIA;Simoes Filho;116662;3008293.5;25786.41015625;BA;NORDESTE
BAHIA;Iramaia;15045;45185.3515625;3003.35009766;BA;NORDESTE
BAHIA;Presidente Janio Quadros;14212;40023.14453125;2816.14990234;BA;NORDESTE
BAHIA;Mairi;19700;64854.29296875;3292.10009766;BA;NORDESTE
BAHIA;Heliopolis;14713;46740.99609375;3176.85009766;BA;NORDESTE
BAHIA;Presidente Tancredo Neves;24249;89919.171875;3708.15991211;BA;NORDESTE
BAHIA;Barra do Rocha;5860;29038.30859375;4955.33984375;BA;NORDESTE
BAHIA;Presidente Dutra;14306;47002.90625;3285.54003906;BA;NORDESTE
